P_NR	SURVEY	SP	PURPOSE	AGE	TRAIN_AV	CAR_AV	SM_AV	TRAIN_TT	TRAIN_CO	GA	TRAIN_FR	SM_TT	SM_CO	SM_FR	SM_SEATS	CAR_TT	CAR_CO	GROUP	CHOICE
10	0	1	1	2	1	1	1	219	2340	1	30	66	4160	20	0	182	200	2	1
10	0	1	1	1	1	1	1	177	22	0	120	128	24	30	0	960	13	2	1
10	0	1	1	1	1	1	1	159	22	0	60	128	24	20	1	1560	10	2	1
10	0	1	1	1	1	1	1	159	22	0	120	121	25	20	0	1200	13	2	2
10	0	1	1	2	1	1	1	219	3120	1	30	72	3380	30	0	112	260	2	3
10	0	1	1	2	1	0	1	111	67	0	30	41	106	20	0	0	0	2	1
10	0	1	1	5	1	1	1	74	9	0	30	50	11	10	1	48	10	2	2
11	0	1	1	3	1	1	1	183	79	0	120	88	90	30	0	182	68	2	2
11	0	1	1	1	1	0	1	126	1850	1	30	86	2960	20	0	0	0	2	1
11	0	1	1	1	1	0	1	165	1665	1	60	86	2220	20	0	0	0	2	1
11	0	1	1	1	1	0	1	139	1665	1	120	83	2960	10	0	0	0	2	1
11	0	1	1	1	1	0	1	126	1665	1	30	90	2405	30	0	0	0	2	1
12	0	1	1	4	1	0	1	90	3780	1	30	48	5460	30	0	0	0	2	2
12	0	1	1	3	1	0	1	103	3120	1	30	54	3120	10	0	0	0	2	2
12	0	1	1	1	1	0	1	111	47	0	60	74	70	30	1	0	0	2	1
12	0	1	1	1	1	0	1	122	52	0	30	74	63	30	1	0	0	2	1
12	0	1	1	1	1	0	1	122	47	0	30	77	53	10	1	0	0	2	2
12	0	1	1	1	1	0	1	143	62	0	30	77	76	30	0	0	0	2	2
13	0	1	1	2	1	0	1	148	2340	1	30	68	4160	20	0	0	0	2	1
13	0	1	1	4	1	1	1	115	156	0	30	68	162	10	0	117	84	2	2
13	0	1	1	3	1	1	1	109	38	0	30	71	48	30	0	60	35	2	1
14	0	1	1	3	1	0	1	111	20	0	120	48	26	20	1	0	0	2	2
14	0	1	1	5	1	1	1	135	65	0	120	61	88	10	1	117	71	2	1
14	0	1	1	5	1	0	1	162	2610	1	60	111	3770	10	0	0	0	2	1
14	0	1	1	5	1	0	1	162	2900	1	120	111	3480	30	0	0	0	2	1
14	0	1	1	5	1	0	1	148	2900	1	60	111	3480	20	1	0	0	2	1
14	0	1	1	5	1	1	1	112	2610	1	120	86	4640	10	0	140	320	2	2
14	0	1	1	5	1	0	1	148	2900	1	120	104	3770	20	0	0	0	2	1
15	0	1	1	4	1	1	1	215	76	0	30	65	109	20	0	182	90	2	2
15	0	1	1	3	1	1	1	111	3120	1	30	63	3120	10	0	130	78	2	2
15	0	1	1	3	1	0	1	153	122	0	60	102	147	10	0	0	0	2	2
15	0	1	1	3	1	0	1	153	136	0	120	102	153	30	0	0	0	2	2
15	0	1	1	3	1	0	1	142	136	0	60	102	153	20	1	0	0	2	2
15	0	1	1	6	1	0	1	63	22	0	30	39	25	10	1	0	0	2	1
15	0	1	1	3	1	0	1	142	136	0	120	95	155	20	0	0	0	2	2
15	0	1	1	2	1	0	1	111	89	0	30	44	111	30	0	0	0	2	1
16	0	1	1	1	1	0	1	138	2340	1	120	66	3380	20	1	0	0	2	1
16	0	1	1	1	1	0	1	106	3120	1	60	62	3380	10	1	0	0	2	2
17	0	1	1	2	1	1	1	202	83	0	120	120	94	20	1	120	192	2	2
17	0	1	1	2	1	1	1	155	110	0	60	116	118	10	1	150	192	2	2
17	0	1	1	2	1	1	1	151	41	0	60	102	53	10	0	78	45	2	2
17	0	1	1	2	1	1	1	151	46	0	120	102	54	30	0	48	45	2	3
17	0	1	1	2	1	1	1	139	46	0	120	95	56	20	0	60	45	2	2
18	0	1	1	2	1	0	1	148	3120	1	30	71	3380	30	0	0	0	2	1
18	0	1	1	3	1	0	1	127	26	0	60	78	32	10	0	0	0	2	2
18	0	1	1	3	1	0	1	127	29	0	120	78	34	30	0	0	0	2	2
18	0	1	1	3	1	0	1	115	29	0	120	71	35	20	0	0	0	2	2
19	0	1	1	3	1	1	1	136	3780	1	30	60	6720	20	0	91	45	2	1
19	0	1	1	3	1	1	1	116	5040	1	60	60	5040	20	0	56	36	2	2
19	0	1	1	3	1	1	1	95	121	0	60	82	136	20	1	104	80	2	2
19	0	1	1	3	1	0	1	90	22	0	120	41	28	20	0	0	0	2	2
19	0	1	1	1	1	0	1	169	85	0	60	118	99	10	0	0	0	2	1
19	0	1	1	1	1	0	1	169	95	0	120	118	103	30	0	0	0	2	1
19	0	1	1	1	1	0	1	155	95	0	120	111	106	20	0	0	0	2	1
20	0	1	1	2	1	1	1	238	100	0	60	94	133	30	0	208	72	2	2
20	0	1	1	2	1	1	1	180	100	0	120	94	133	10	0	128	90	2	3
20	0	1	1	4	1	1	1	215	101	0	30	71	118	30	0	112	117	2	2
20	0	1	1	4	1	1	1	126	3780	1	60	79	6720	30	1	72	78	2	1
20	0	1	1	4	1	1	1	137	4200	1	30	79	5460	30	1	117	48	2	2
20	0	1	1	4	1	1	1	159	5040	1	30	82	5460	30	0	72	78	2	2
21	0	1	1	2	1	1	1	116	22	0	30	46	32	20	0	78	40	2	2
21	0	1	1	2	1	1	1	102	24	0	60	49	36	30	0	60	40	2	2
21	0	1	1	3	1	0	1	120	47	0	60	101	65	10	0	0	0	2	2
21	0	1	1	3	1	0	1	120	52	0	120	101	68	30	0	0	0	2	2
21	0	1	1	2	1	0	1	47	16	0	30	23	19	10	1	0	0	2	2
21	0	1	1	1	1	0	1	106	2600	1	120	59	3380	20	0	0	0	2	1
22	0	1	1	2	1	1	1	155	92	0	120	113	105	20	0	150	312	2	2
22	0	1	1	4	1	1	1	67	22	0	30	43	25	10	1	48	40	2	1
23	0	1	1	3	1	0	1	51	157	0	120	30	209	30	0	0	0	2	2
23	0	1	1	4	1	1	1	204	75	0	120	68	108	20	1	112	64	2	2
23	0	1	1	1	1	1	1	87	2340	1	120	61	4160	10	0	70	32	2	2
23	0	1	1	4	1	1	1	173	100	0	30	68	133	20	1	140	104	2	2
24	0	1	1	3	1	1	1	95	26	0	120	49	29	30	0	91	28	2	2
24	0	1	1	2	1	0	1	64	2340	1	120	38	4160	10	0	0	0	2	1
24	0	1	1	3	1	1	1	136	5040	1	30	63	5460	30	0	56	58	2	2
24	0	1	1	1	1	0	1	107	34	0	30	35	48	20	0	0	0	2	1
24	0	1	1	4	1	0	1	157	45	0	60	53	80	30	1	0	0	2	2
24	0	1	1	4	1	0	1	172	50	0	30	53	65	30	1	0	0	2	2
24	0	1	1	1	1	0	1	93	38	0	60	38	52	30	0	0	0	2	1
25	0	1	1	2	1	1	1	85	3120	1	30	36	3120	10	0	78	39	2	2
25	0	1	1	5	1	0	1	84	60	0	120	70	80	10	0	0	0	2	2
25	0	1	1	2	1	1	1	180	75	0	30	94	108	30	0	160	90	2	2
25	0	1	1	5	1	0	1	101	3120	1	60	38	4160	30	0	0	0	2	1
25	0	1	1	4	1	0	1	145	222	0	30	99	355	20	0	0	0	2	2
25	0	1	1	4	1	0	1	166	200	0	60	99	266	20	0	0	0	2	2
25	0	1	1	1	1	0	1	38	9	0	120	12	14	10	0	0	0	2	2
25	0	1	1	5	1	0	1	101	2600	1	60	31	3380	10	0	0	0	2	1
26	0	1	1	2	1	1	1	116	29	0	30	49	35	30	0	48	52	2	2
26	0	1	1	1	1	0	1	131	23	0	30	56	34	20	0	0	0	2	2
26	0	1	1	1	1	0	1	159	1665	1	60	119	2960	30	1	0	0	2	1
26	0	1	1	1	1	0	1	173	1850	1	30	119	2405	30	1	0	0	2	1
26	0	1	1	1	1	0	1	112	26	0	60	59	38	30	0	0	0	2	2
27	0	1	1	3	1	1	1	95	54	0	120	47	65	30	0	78	40	2	1
27	0	1	1	3	1	1	1	136	2340	1	60	90	4160	30	1	72	78	2	1
27	0	1	1	3	1	1	1	148	2600	1	30	90	3380	30	1	117	48	2	1
27	0	1	1	4	1	1	1	221	5040	1	60	80	6720	30	0	182	72	2	1
27	0	1	1	1	1	0	1	79	2340	1	30	55	3120	10	1	0	0	2	2
27	0	1	1	4	1	1	1	221	4200	1	60	66	5460	10	0	112	90	2	1
28	0	1	1	3	1	1	1	192	67	0	120	114	78	20	1	120	64	2	2
28	0	1	1	2	1	0	1	61	16	0	60	42	20	20	1	0	0	2	2
28	0	1	1	3	1	1	1	165	89	0	30	114	109	20	1	150	104	2	2
28	0	1	1	4	1	1	1	158	83	0	120	54	108	20	0	140	104	2	2
29	0	1	1	2	1	0	1	110	31	0	120	62	38	30	0	0	0	2	1
29	0	1	1	2	1	1	1	126	38	0	60	77	48	10	0	78	45	2	2
29	0	1	1	2	1	1	1	126	42	0	120	77	48	30	0	48	45	2	2
29	0	1	1	2	1	0	1	61	29	0	60	35	32	20	0	0	0	2	2
29	0	1	1	1	1	0	1	107	46	0	30	38	50	30	0	0	0	2	2
30	0	1	1	2	1	0	1	163	2340	1	120	92	3380	20	1	0	0	2	1
30	0	1	1	3	1	1	1	102	43	0	60	53	53	10	0	78	52	2	2
30	0	1	1	3	1	1	1	102	48	0	120	53	53	30	0	48	52	2	2
30	0	1	1	2	1	0	1	143	3120	1	30	92	4160	20	1	0	0	2	1
30	0	1	1	5	1	0	1	80	2340	1	30	38	3380	30	0	0	0	2	1
31	0	1	1	3	1	1	1	125	4200	1	30	81	6720	20	0	64	40	2	1
31	0	1	1	3	1	1	1	158	3780	1	60	81	5040	20	0	80	65	2	1
31	0	1	1	1	1	0	1	131	31	0	30	59	38	30	0	0	0	2	1
32	0	1	1	2	1	1	1	107	271	0	120	93	362	10	0	72	45	2	3
32	0	1	1	3	1	1	1	237	79	0	120	96	97	20	1	112	68	2	2
32	0	1	1	3	1	1	1	201	106	0	30	96	137	20	1	140	110	2	2
32	0	1	1	4	1	1	1	167	3780	1	30	80	5460	30	0	140	90	2	1
33	0	1	1	2	1	1	1	165	73	0	60	116	88	30	1	168	143	2	2
33	0	1	1	2	1	1	1	172	81	0	30	116	88	30	1	273	88	2	2
33	0	1	1	2	1	1	1	51	38	0	60	25	42	20	0	84	40	2	2
33	0	1	1	3	1	0	1	124	3120	1	60	61	4160	30	0	0	0	2	2
33	0	1	1	4	1	0	1	141	2600	1	120	65	4160	10	1	0	0	2	1
33	0	1	1	2	1	1	1	115	36	0	120	34	50	10	0	110	52	2	2
33	0	1	1	3	1	0	1	124	2600	1	60	54	3380	10	0	0	0	2	2
33	0	1	1	3	1	1	1	151	74	0	120	107	84	20	0	150	104	2	2
34	0	1	1	4	1	1	1	147	156	0	60	75	194	30	0	117	52	2	2
34	0	1	1	4	1	1	1	147	130	0	60	68	153	10	0	72	65	2	2
34	0	1	1	2	1	0	1	184	106	0	30	86	144	20	0	0	0	2	2
34	0	1	1	2	1	0	1	230	95	0	60	86	111	20	0	0	0	2	2
34	0	1	1	5	1	1	1	146	81	0	60	91	88	20	1	195	90	2	2
35	0	1	1	5	1	1	1	135	58	0	30	58	81	20	0	117	55	2	1
35	0	1	1	2	1	0	1	95	3120	1	30	44	3120	10	0	0	0	2	2
35	0	1	1	5	1	1	1	116	65	0	60	61	88	30	0	90	55	2	1
35	0	1	1	2	1	0	1	133	2600	1	120	85	3380	20	0	0	0	2	1
36	0	1	1	3	1	1	1	82	134	0	120	36	179	30	0	78	32	2	2
36	0	1	1	3	1	1	1	141	3120	1	60	70	4160	30	0	130	48	2	2
36	0	1	1	5	1	0	1	84	31	0	60	58	34	20	0	0	0	2	1
36	0	1	1	1	1	0	1	64	104	0	30	40	139	10	1	0	0	2	2
36	0	1	1	3	1	1	1	141	2600	1	60	63	3380	10	0	80	60	2	2
37	0	1	1	2	1	0	1	57	76	0	30	41	108	10	0	0	0	2	2
37	0	1	1	3	1	0	1	142	28	0	60	93	32	10	0	0	0	2	2
37	0	1	1	3	1	0	1	142	31	0	120	93	34	30	0	0	0	2	2
37	0	1	1	5	1	0	1	58	3480	1	120	39	4640	10	0	0	0	2	1
37	0	1	1	3	1	1	1	183	88	0	120	82	105	20	0	140	110	2	2
38	0	1	1	2	1	0	1	80	3120	1	30	31	3120	10	0	0	0	2	2
38	0	1	1	5	1	0	1	174	2900	1	30	76	4640	20	0	0	0	2	1
38	0	1	1	5	1	0	1	220	2610	1	60	76	3480	20	0	0	0	2	1
38	0	1	1	1	1	1	1	150	52	0	120	138	59	10	0	120	30	2	2
38	0	1	1	3	1	0	1	103	2340	1	30	61	3380	30	0	0	0	2	2
39	0	1	1	4	1	1	1	115	117	0	30	75	142	30	0	90	65	2	2
39	0	1	1	5	1	0	1	100	194	0	120	52	259	30	0	0	0	2	2
40	0	1	1	5	1	0	1	169	5040	1	30	128	5040	10	0	0	0	2	1
40	0	1	1	5	1	1	1	135	78	0	30	61	84	30	0	72	71	2	1
41	0	1	1	1	1	0	1	101	35	0	120	32	49	10	1	0	0	2	2
41	0	1	1	4	1	1	1	51	44	0	60	33	53	20	1	58	30	2	1
41	0	1	1	3	1	1	1	111	2340	1	30	70	3380	30	0	100	60	2	2
42	0	1	1	3	1	1	1	44	2600	1	60	25	3120	20	1	52	84	2	2
42	0	1	1	5	1	0	1	157	2900	1	30	59	4640	20	0	0	0	2	1
42	0	1	1	5	1	0	1	203	2610	1	60	59	3480	20	0	0	0	2	1
43	0	1	1	3	1	0	1	92	24	0	120	31	38	10	1	0	0	2	2
43	0	1	1	3	1	1	1	54	245	0	60	33	265	10	1	60	56	2	2
44	0	1	1	3	1	0	1	61	157	0	120	32	226	20	1	0	0	2	2
44	0	1	1	3	1	0	1	54	209	0	30	32	278	20	1	0	0	2	2
44	0	1	1	1	1	0	1	205	2600	1	120	93	4160	10	1	0	0	2	1
44	0	1	1	4	1	1	1	74	16	0	30	50	18	10	1	40	25	2	2
45	0	1	1	1	1	0	1	125	2220	1	30	74	2220	10	0	0	0	2	2
45	0	1	1	3	1	1	1	174	176	0	30	76	245	20	0	112	68	2	1
45	0	1	1	3	1	1	1	220	158	0	60	76	184	20	0	140	110	2	2
45	0	1	1	4	1	1	1	58	18	0	120	42	24	10	0	56	60	2	1
46	0	1	1	2	1	0	1	159	2340	1	120	61	3120	30	0	0	0	2	2
46	0	1	1	5	1	0	1	101	1665	1	60	55	2960	30	1	0	0	2	1
46	0	1	1	5	1	0	1	111	1850	1	30	55	2405	30	1	0	0	2	1
46	0	1	1	4	1	1	1	77	119	0	120	63	147	10	0	56	40	2	3
47	0	1	1	2	1	1	1	59	40	0	60	41	45	20	1	52	15	2	2
47	0	1	1	1	1	1	1	132	1850	1	30	89	2960	20	0	72	40	2	1
47	0	1	1	1	1	1	1	167	1665	1	60	89	2220	20	0	90	65	2	1
47	0	1	1	3	1	1	1	96	82	0	60	70	86	20	0	56	40	2	3
48	0	1	1	5	1	1	1	56	46	0	120	38	65	10	0	32	20	2	1
48	0	1	1	1	1	0	1	54	188	0	30	30	251	10	1	0	0	2	2
49	0	1	1	3	1	0	1	51	174	0	120	28	226	20	0	0	0	2	2
49	0	1	1	3	1	0	1	116	2600	1	120	49	4160	10	1	0	0	2	1
49	0	1	1	5	1	1	1	92	3480	1	60	66	3480	20	0	64	36	2	1
49	0	1	1	2	1	1	1	59	40	0	30	35	48	10	1	56	35	2	3
50	0	1	1	2	1	0	1	227	34	0	60	191	48	30	1	0	0	2	1
50	0	1	1	2	1	0	1	249	38	0	30	191	45	30	1	0	0	2	1
50	0	1	1	4	1	0	1	61	16	0	60	42	20	20	1	0	0	2	2
51	0	1	1	5	1	0	1	108	60	0	60	70	80	30	0	0	0	2	2
51	0	1	1	5	1	0	1	108	50	0	60	66	65	10	0	0	0	2	2
51	0	1	1	1	1	0	1	97	1665	1	60	48	2405	10	0	0	0	2	1
51	0	1	1	1	1	0	1	97	1850	1	120	48	2220	30	0	0	0	2	2
52	0	1	1	2	1	0	1	93	29	0	60	45	40	30	1	0	0	2	2
52	0	1	1	2	1	0	1	101	32	0	30	45	40	30	1	0	0	2	2
52	0	1	1	2	1	1	1	98	36	0	120	85	42	10	0	120	40	2	2
53	0	1	1	2	1	1	1	125	2340	1	60	77	3380	10	0	143	104	2	2
53	0	1	1	2	1	1	1	125	2600	1	120	77	3120	30	0	88	104	2	2
53	0	1	1	4	1	0	1	120	31	0	120	107	42	10	0	0	0	2	2
53	0	1	1	5	1	0	1	100	32	0	60	99	35	20	1	0	0	2	1
54	0	1	1	3	1	1	1	120	2340	1	60	69	3380	10	0	117	71	2	2
54	0	1	1	3	1	1	1	120	2600	1	120	69	3120	30	0	72	71	2	2
54	0	1	1	3	1	1	1	68	35	0	120	53	43	10	0	64	35	2	2
55	0	1	1	2	1	1	1	175	55	0	120	95	65	30	1	60	35	2	2
55	0	1	1	2	1	0	1	70	22	0	30	35	29	20	0	0	0	2	2
55	0	1	1	4	1	1	1	133	196	0	60	121	212	10	1	90	40	2	3
55	0	1	1	5	1	1	1	55	2900	1	60	36	3480	20	1	52	60	2	1
55	0	1	1	2	1	0	1	61	24	0	60	37	32	30	0	0	0	2	2
56	0	1	1	5	1	0	1	84	60	0	30	66	60	10	0	0	0	2	2
56	0	1	1	2	1	1	1	164	100	0	120	130	133	10	0	112	85	2	2
56	0	1	1	5	1	0	1	84	45	0	30	70	65	30	0	0	0	2	1
56	0	1	1	3	1	0	1	151	35	0	120	71	40	30	1	0	0	2	2
56	0	1	1	1	1	1	1	131	1665	1	60	86	2960	30	1	80	52	2	1
56	0	1	1	1	1	1	1	144	1850	1	30	86	2405	30	1	130	32	2	1
57	0	1	1	4	1	1	1	100	22	0	30	56	35	20	0	80	24	2	3
57	0	1	1	4	1	1	1	126	20	0	60	56	24	20	0	100	39	2	2
57	0	1	1	4	1	1	1	122	5040	1	120	81	6720	10	0	72	65	2	1
57	0	1	1	1	1	0	1	197	114	0	120	111	116	30	1	0	0	2	2
58	0	1	1	2	1	1	1	131	271	0	60	93	362	30	0	117	36	2	2
58	0	1	1	2	1	1	1	131	226	0	60	89	294	10	0	72	45	2	3
58	0	1	1	4	1	1	1	159	4200	1	30	86	5040	10	0	90	48	2	2
58	0	1	1	5	1	0	1	221	3120	1	120	125	4160	10	0	0	0	2	1
59	0	1	1	2	1	1	1	58	29	0	30	25	38	20	0	136	50	2	2
59	0	1	1	3	1	0	1	132	2340	1	60	83	3380	10	0	0	0	2	2
59	0	1	1	3	1	0	1	132	2600	1	120	83	3120	30	0	0	0	2	2
59	0	1	1	2	1	1	1	51	32	0	60	27	40	30	0	105	50	2	2
59	0	1	1	3	1	0	1	141	62	0	120	94	80	30	1	0	0	2	2
59	0	1	1	5	1	1	1	74	12	0	60	48	14	20	0	48	8	2	2
59	0	1	1	3	1	1	1	87	3120	1	60	39	3380	10	1	80	40	2	3
60	0	1	1	2	1	1	1	126	2600	1	30	83	4160	20	0	64	128	2	1
60	0	1	1	2	1	1	1	163	2340	1	60	83	3120	20	0	80	208	2	2
60	0	1	1	3	1	1	1	97	100	0	60	41	100	20	0	48	28	2	3
60	0	1	1	2	1	0	1	70	24	0	120	37	32	10	1	0	0	2	2
60	0	1	1	2	1	0	1	70	29	0	30	37	34	30	0	0	0	2	2
61	0	1	1	3	1	1	1	80	35	0	30	32	49	20	0	72	112	2	2
61	0	1	1	3	1	1	1	101	31	0	60	32	38	20	0	90	182	2	2
62	0	1	1	1	1	1	1	70	4200	1	30	22	6720	20	0	72	96	2	1
62	0	1	1	1	1	1	1	91	3780	1	60	22	5040	20	0	90	156	2	1
62	0	1	1	4	1	0	1	203	50	0	30	67	60	10	0	0	0	2	2
62	0	1	1	5	1	0	1	96	23	0	30	58	32	20	0	0	0	2	1
62	0	1	1	5	1	1	1	90	97	0	120	48	109	10	0	144	100	2	1
62	0	1	1	5	1	0	1	84	26	0	60	60	35	30	0	0	0	2	1
63	0	1	1	2	1	1	1	107	271	0	30	89	271	10	0	117	58	2	2
63	0	1	1	2	1	1	1	107	203	0	30	93	294	30	0	90	45	2	3
63	0	1	1	4	1	0	1	152	266	0	120	99	289	20	0	0	0	2	2
63	0	1	1	5	1	0	1	68	3480	1	60	39	4640	30	0	0	0	2	1
63	0	1	1	5	1	1	1	104	3480	1	120	90	4640	10	0	112	400	2	1
63	0	1	1	5	1	0	1	85	3480	1	60	37	3770	10	1	0	0	2	1
63	0	1	1	5	1	0	1	68	2900	1	60	35	3770	10	0	0	0	2	1
64	0	1	1	2	1	1	1	58	32	0	120	27	40	10	1	136	65	2	2
64	0	1	1	3	1	0	1	88	2600	1	30	44	4160	20	0	0	0	2	2
64	0	1	1	3	1	0	1	114	2340	1	60	44	3120	20	0	0	0	2	2
64	0	1	1	3	1	1	1	164	119	0	120	74	161	10	0	112	90	2	3
64	0	1	1	2	1	1	1	58	38	0	30	27	42	30	0	84	65	2	2
64	0	1	1	1	1	0	1	202	1850	1	30	126	2220	10	0	0	0	2	1
64	0	1	1	1	1	1	1	180	52	0	60	138	59	30	0	195	24	2	2
64	0	1	1	6	1	0	1	63	29	0	60	37	32	20	0	0	0	2	1
64	0	1	1	1	1	1	1	180	43	0	60	134	48	10	0	120	30	2	2
65	0	1	1	3	1	1	1	173	2600	1	30	97	3120	10	0	90	48	2	2
65	0	1	1	1	1	1	1	159	26	0	60	124	28	10	1	1200	8	2	2
65	0	1	1	1	1	0	1	88	20	0	60	39	26	10	0	0	0	2	1
65	0	1	1	1	1	0	1	88	22	0	120	39	26	30	0	0	0	2	2
66	0	1	1	1	1	0	1	126	2220	1	120	90	2960	10	0	0	0	2	1
67	0	1	1	2	1	1	1	147	50	0	120	70	58	30	1	60	35	2	2
67	0	1	1	3	1	0	1	110	32	0	60	59	48	30	1	0	0	2	2
67	0	1	1	3	1	0	1	117	36	0	30	59	45	30	1	0	0	2	2
67	0	1	1	5	1	0	1	96	26	0	120	60	35	10	1	0	0	2	1
67	0	1	1	1	1	0	1	122	62	0	60	74	71	20	0	0	0	2	2
67	0	1	1	5	1	0	1	96	31	0	30	60	36	30	0	0	0	2	1
68	0	1	1	3	1	1	1	95	145	0	60	80	155	10	1	80	64	2	2
68	0	1	1	3	1	1	1	116	58	0	120	46	65	30	1	60	40	2	2
68	0	1	1	5	1	0	1	58	3480	1	30	35	3480	10	0	0	0	2	1
68	0	1	1	4	1	0	1	114	3780	1	60	63	5460	10	0	0	0	2	2
68	0	1	1	4	1	0	1	114	4200	1	120	63	5040	30	0	0	0	2	2
68	0	1	1	5	1	0	1	58	2610	1	30	39	3770	30	0	0	0	2	1
69	0	1	1	3	1	1	1	136	5040	1	120	81	5460	20	0	104	50	2	2
69	0	1	1	4	1	1	1	86	4200	1	30	39	6720	20	0	60	20	2	1
69	0	1	1	4	1	1	1	111	3780	1	60	39	5040	20	0	75	32	2	3
69	0	1	1	3	1	1	1	64	184	0	120	35	265	20	1	48	56	2	1
69	0	1	1	1	1	1	1	150	52	0	30	134	54	10	0	195	39	2	2
69	0	1	1	5	1	0	1	148	3480	1	60	107	3770	10	1	0	0	2	1
69	0	1	1	3	1	1	1	57	245	0	30	35	326	20	1	60	91	2	1
69	0	1	1	1	1	1	1	150	39	0	30	138	46	30	0	150	30	2	2
70	0	1	1	2	1	0	1	47	22	0	60	21	25	20	0	0	0	2	2
70	0	1	1	3	1	0	1	142	163	0	60	98	176	10	1	0	0	2	2
